angle,fps
47.199852,698.23364
47.29985,717.45496
47.39985,710.6237
47.499847,697.19556
47.599846,691.7104
47.699844,693.1071
47.799843,693.77014
47.89984,692.71545
47.99984,685.40857
48.09984,684.20667
48.199837,683.4765
48.299835,683.8292
48.399834,687.299
48.499832,699.60583
48.59983,687.922
48.69983,686.8423
48.799828,684.6221
48.899826,687.0911
48.999825,693.7802
49.099823,693.09033
49.19982,692.64703
49.29982,693.098
49.39982,691.853
49.499817,693.31726
49.599815,709.9531
49.699814,712.2036
49.799812,697.5875
49.89981,696.45056
49.99981,697.5643
50.099808,697.7655
50.199806,700.11194
50.299805,697.51184
50.399803,703.6741
50.4998,704.0459
50.5998,705.6056
50.6998,707.6838
50.799797,726.5861
50.899796,712.16833
50.999794,713.816
51.099792,713.45764
51.19979,714.22327
51.29979,715.17804
51.399788,711.0821
51.499786,714.90125
51.599785,715.81946
51.699783,711.776
51.79978,712.7883
51.89978,726.47766
51.99978,726.5684
52.099777,709.7736
52.199776,707.18744
52.299774,711.14685
52.399773,712.7969
52.49977,709.3328
52.59977,714.4926
52.699768,719.1488
52.799767,718.5033
52.899765,723.20886
52.999763,722.212
53.099762,739.9699
53.19976,744.428
53.29976,727.61066
53.399757,727.79376
53.499756,728.1367
53.599754,718.38434
53.699753,716.6239
53.79975,719.5793
53.89975,721.14325
53.99975,722.1028
54.099747,721.9589
54.199745,723.607
54.299744,740.2394
54.399742,740.7601
54.49974,724.71814
54.59974,727.5231
54.699738,727.9323
54.799736,720.59607
54.899734,719.6477
54.999733,720.52893
55.09973,720.6396
55.19973,718.4888
55.29973,719.04065
55.399727,717.826
55.499725,735.90247
55.599724,736.7237
55.699722,720.6358
55.79972,723.1407
55.89972,718.81757
55.999718,722.77783
56.099716,722.3647
56.199715,722.7247
56.299713,720.04346
56.39971,718.7777
56.49971,717.3804
56.59971,718.62286
56.699707,733.8068
56.799706,735.9003
56.899704,721.2036
56.999702,715.03
57.0997,715.67645
57.1997,717.1239
57.299698,717.2085
57.399696,718.81415
57.499695,717.4071
57.599693,714.5763
57.69969,714.0361
57.79969,714.5359
57.89969,733.4993
57.999687,735.67444
58.099686,715.3708
58.199684,716.5278
58.299683,716.3379
58.39968,716.62537
58.49968,718.22424
58.599678,722.6687
58.699677,724.576
58.799675,723.3739
58.899673,720.33075
58.999672,721.79675
59.09967,737.8874
59.19967,731.5758
59.299667,715.54193
59.399666,715.0184
59.499664,714.7788
59.599663,715.0983
59.69966,715.8182
59.79966,715.39246
